epoch,train_loss,val_loss,train_accuracy,val_accuracy,train_error,val_error
68,1.932050531283735,1.962671566613113,0.4715,0.4816,0.5285,0.5184
69,1.9389180999975235,1.9621993378747868,0.468225,0.4866,0.531775,0.5134000000000001
70,1.9248746431673678,1.969804650620569,0.4699,0.4802,0.5301,0.5198
71,1.9320814148686565,1.9565126563929305,0.468825,0.486,0.531175,0.514
72,1.923664768663839,1.9367495850671697,0.473775,0.4892,0.5262249999999999,0.5107999999999999
73,1.9244509482155212,1.9386992213092273,0.472925,0.4927,0.527075,0.5073
74,1.9104946577510895,1.9648260602468177,0.47605,0.4777,0.52395,0.5223
75,1.8998637717371931,1.9865043510364582,0.4779,0.4826,0.5221,0.5174000000000001
76,1.9057968569258912,1.9033098899865453,0.477275,0.4948,0.522725,0.5052
77,1.8901949557252586,1.9746810725972623,0.4795,0.482,0.5205,0.518
78,1.9022054683667022,1.9236021192767951,0.4779,0.4927,0.5221,0.5073
79,1.8877768036656486,1.9271328539787969,0.477725,0.4949,0.522275,0.5051
80,1.8929663519508921,1.9235944310321083,0.477875,0.4936,0.522125,0.5064
81,1.8985610777577653,1.925502528118182,0.476725,0.4865,0.5232749999999999,0.5135000000000001
82,1.8884871200250741,1.9462652236600466,0.478425,0.4894,0.521575,0.5105999999999999
83,1.884905565280122,1.9268620587602447,0.4797,0.4947,0.5203,0.5053000000000001
84,1.880635901000172,1.9379099652737002,0.480325,0.4963,0.519675,0.5037
85,1.864703256101273,1.963643383376206,0.486325,0.4785,0.513675,0.5215000000000001
86,1.8671266701274787,1.9225494906872134,0.4861,0.4968,0.5139,0.5032
87,1.8664166443645003,1.915118292917179,0.484725,0.4924,0.5152749999999999,0.5076
88,1.8642894623759456,1.8918132797072205,0.483475,0.5074,0.516525,0.49260000000000004
89,1.8520633149832582,1.920197251476819,0.486675,0.4992,0.513325,0.5008
90,1.8686867072559392,1.9472986248475086,0.4845,0.4901,0.5155000000000001,0.5099
91,1.851899855053082,1.9158921211580686,0.487225,0.4954,0.512775,0.5045999999999999
92,1.8501047699596174,1.931239561189579,0.487825,0.4912,0.512175,0.5087999999999999
93,1.8538909834413864,1.960791835302039,0.48805,0.4842,0.51195,0.5158
94,1.8475187795992476,1.9354360043248044,0.4953,0.487,0.5046999999999999,0.513
95,1.8461377236028067,1.9048696877081184,0.48915,0.4974,0.51085,0.5025999999999999
96,1.8444244850176972,1.9088803212853926,0.489675,0.4929,0.5103249999999999,0.5071
97,1.8406374549713378,1.8871930701823174,0.49095,0.5002,0.50905,0.4998
98,1.8248095752332156,1.9113277423230908,0.494175,0.4948,0.505825,0.5052
99,1.8374684729134312,1.9240903990178169,0.490225,0.4982,0.509775,0.5018
100,1.833907903192904,1.8764109385164478,0.4922,0.5038,0.5078,0.4962
