epoch,train_loss,val_loss,train_accuracy,val_accuracy,train_error,val_error
1,4.377884334649521,4.1384771805775316,0.0264,0.0488,0.9736,0.9512
2,4.071979608017797,3.896301622632184,0.055025,0.0812,0.944975,0.9188000000000001
3,3.8850082307577893,3.7210182660742652,0.085,0.1058,0.915,0.8942
4,3.7244984646574757,3.608671064618268,0.113275,0.1385,0.886725,0.8614999999999999
5,3.551532499325542,3.340097919295106,0.1454,0.1827,0.8546,0.8173
6,3.389975118941773,3.190171742741066,0.17415,0.2066,0.82585,0.7934
7,3.26943897363096,3.055957718740536,0.1973,0.2337,0.8027,0.7663
8,3.1531285089425767,2.944386904752707,0.215225,0.2551,0.784775,0.7449
9,3.030130412251043,2.83166893222664,0.23885,0.2825,0.76115,0.7175
10,2.9442281433568596,2.773062250282191,0.256425,0.2947,0.743575,0.7053
11,2.843121706868132,2.6918375039402442,0.27675,0.3089,0.72325,0.6911
12,2.761572720524602,2.6436981430536584,0.295025,0.3175,0.704975,0.6825
13,2.681018843056676,2.535908874077133,0.306075,0.3436,0.693925,0.6564
14,2.6021556039206897,2.5098971354810495,0.321475,0.3412,0.678525,0.6588
15,2.548871919369926,2.4420184515699557,0.333725,0.3606,0.666275,0.6394
16,2.4871946127650837,2.3206816987146306,0.3465,0.3916,0.6535,0.6084
17,2.4254962624833225,2.2792813144152677,0.359075,0.3935,0.640925,0.6065
18,2.367531046699792,2.2345789942560317,0.37155,0.4034,0.62845,0.5966
19,2.3269495735534083,2.2292354333249826,0.380025,0.4052,0.6199749999999999,0.5948
20,2.264744444396168,2.1840885847429687,0.3923,0.4153,0.6077,0.5847
21,2.222722354788369,2.138343316090258,0.401675,0.4337,0.598325,0.5663
22,2.1747522171313007,2.114949756030795,0.413425,0.4332,0.5865750000000001,0.5668
23,2.1384667325705387,2.1084049381787264,0.421925,0.4397,0.578075,0.5603
24,2.108655921186502,2.087688589397865,0.4251,0.4421,0.5749,0.5579000000000001
25,2.075148774031252,2.039374221729327,0.436025,0.4492,0.563975,0.5508
26,2.0350786767447717,1.9940525429158271,0.44355,0.4645,0.55645,0.5355
