epoch,train_loss,val_loss,train_accuracy,val_accuracy,train_error,val_error
1,3.8291410242025843,3.6136168105692805,0.107375,0.1504,0.892625,0.8496
2,3.1719937735853105,3.0791607506667513,0.21515,0.2452,0.78485,0.7548
3,2.775294321413619,3.0366483036475844,0.288125,0.2515,0.711875,0.7484999999999999
4,2.495438686955851,2.3269534231741216,0.33995,0.3875,0.66005,0.6125
5,2.2865144311429595,2.165274189997323,0.38785,0.4187,0.61215,0.5812999999999999
6,2.138534336425245,2.070391066466706,0.42535,0.4423,0.57465,0.5577
7,2.002543081109897,1.897822081288205,0.45265,0.481,0.54735,0.519
8,1.9014916385705478,1.8908803493161745,0.477325,0.4906,0.522675,0.5094000000000001
9,1.8145082095941416,1.7286181178274034,0.499925,0.5197,0.500075,0.48029999999999995
10,1.7280532331131517,1.7000486745110042,0.51905,0.5406,0.48095,0.45940000000000003
11,1.6649578866867212,1.6999532874626448,0.531625,0.5275,0.468375,0.47250000000000003
12,1.6047031376689387,1.612542588499528,0.549875,0.5454,0.450125,0.4546
13,1.5488024234010007,1.6025582038903539,0.561225,0.5596,0.438775,0.4404
14,1.4944395203940786,1.636053174356871,0.573175,0.5556,0.426825,0.4444
15,1.453958851841692,1.5376279670980912,0.5857,0.5723,0.4143,0.42769999999999997
16,1.404497757887307,1.5111453472813474,0.5964,0.5781,0.40359999999999996,0.42190000000000005
17,1.3600211349158242,1.4271821387206451,0.6082,0.5989,0.39180000000000004,0.4011
18,1.3159945791902634,1.4899616558340532,0.617325,0.5928,0.382675,0.4072
19,1.282633738586316,1.522281778009632,0.625825,0.592,0.37417500000000004,0.40800000000000003
20,1.2392804904486805,1.441808217688452,0.637625,0.6077,0.362375,0.3923
21,1.216897978569372,1.5174160969408252,0.643375,0.5843,0.35662499999999997,0.41569999999999996
22,1.1858791347128896,1.3993759728685211,0.653225,0.6106,0.34677500000000006,0.38939999999999997
23,1.1421599637586088,1.3528666390648372,0.66235,0.6267,0.33765,0.37329999999999997
